Product Id,Price
13908607,3.97
15543972,5.63
15137326,0.5
20606799,Product Not Found
122519458,2.97
13281238,2.72
632898567,4.73
49358452,3.67
173896638,3.96
623820063,39.76
809881426,39.76
323693249,39.76
37792360,23.32
19416506,17.57
37792361,23.32
474023104,17.57
25490552,17.57
19416507,17.57
11027095,3.48
121815660,2.36
12442827,2.98
175840656,2.98
13448633,2.5
11030057,1.94
10850133,1.97
48714443,1.97
10850129,3.34
10850131,3.34
128642379,2.73
110895339,2.73
45618146,3.22
45618145,3.22
192867550,1.5
44391338,10.8
50733153,11.6
893988448,16.21
13908160,2.28
10293339,2.98
22406031,4.97
47757015,1.28
52295201,1.28
26559565,3.47
52796489,4.98
930104120,4.98
52796493,6.57
10811103,6.57
10811104,Product Not Found
247590164,4.77
47375763,4.77
543131962,4.77
674470589,4.77
125617816,Out of Stock
13398001,1.38
11965047,1.16
22259053,1
400339803,2.08
52518416,1.5
46842775,1.5
38344776,1.5
46842775,1.5
52518415,1.5
23597924,3.28
175191482,6.98
10292780,0.24
10292782,0.24
10292779,0.24
10292775,0.24
19757603,0.24
10292783,0.24
10293531,1.88
10293579,1.88
49333115,0.25
49333115,0.25
32254862,2.94
19406216,11.97
14272797,17.94
11045841,11.97
33963165,6.94
33963161,8.94
42351727,19.97
49292906,4.94
19717396,4.94
37532599,13.74
45611857,13.74
45600130,10.26
49408992,10.26
10318950,10.26
10318828,0.88
3353481,0.88
10318878,0.88
20743446,3.47
21674292,3.47
15716493,3.47
25876411,4.53
26967480,4.53
47725941,3.33
12444772,3.33
19898014,0.75
33963474,3.33
39086034,0.75
10789475,3.33
14053351,3.33
48256172,3.44
703193408,3.18
629078254,3.18
710007426,3.18
10449432,2.97
470714475,3.18
644002814,2.97
49342184,4.97
51173014,4.97
51436119,4.97
49342183,4.97
10320903,0.5
10320908,0.5
10320905,0.5
10320906,0.5
10320916,0.5
10320913,0.5
10320918,0.5
10320919,0.5
10320917,0.5
10320921,0.25
42700880,0.5
10320986,0.5
10320981,0.5
10320975,0.5
10320988,0.5
10320974,0.5
21469770,0.5
10321094,0.5
10320893,0.5
10320900,0.5
10320899,0.5
15610646,3.28
178938915,3.48
15716618,3.48
14574642,3.48
15716621,3.48
694899188,2.5
21296188,3.88
22210680,3.88
926235454,2.48
909977699,2.48
20531284,5.87
20531285,5.87
16821140,5.87
959033640,3.58
340230141,2
271630660,3.58
533646542,3.28
253110860,3.28
431117460,3.28
22282246,5.18
22282247,5.18
22282245,5.18
22176377,1.5
45039253,1.5
24033906,1.5
36403776,1.5
187385053,1.5
22027218,1.5
22027212,1.5
24795848,1.5
22176376,1.5
22176373,1.5
10535013,0.64
10534976,0.64
17252358,0.64
10291914,0.64
10534980,0.64
19276126,0.64
10534969,0.64
10534967,0.64
35953099,0.64
10534973,0.64
10534972,0.64
10535012,0.64
17252356,0.64
10535010,Product Not Found
10534968,0.64
153301434,0.64
191928568,0.64
17252415,0.64
10534974,0.64
17252416,0.64
10535008,0.64
10535011,Product Not Found
10534970,0.64
17252360,0.64
10534975,0.64
15610650,0.64
15610649,0.64
494831089,2.5
577438396,5.97
391632113,2.5
959717777,5.97
293184130,0.7
658536291,9.97
779484826,6.97
298480997,12.97
482328930,6.97
450185839,9.97
561024725,17.88
762509212,12.97
336027515,17.88
504417469,12.97
770984866,9.94
983484882,23.82
955490151,23.82
872979528,3.68
116087795,6.48
462468486,0.5
727137721,6.48
967450303,6.48
910591990,6.48
657255247,15.74
836387648,6.48
605487201,6.48
875852186,15.74
466022475,6.48
163473073,4
996246204,0.5
49606925,4.98
22210561,4.84
10292161,5.84
32192191,5.84
19514902,4.98
49606930,4.98
34334718,4.34
927156211,5.98
10292154,5.52
10292151,5.52
49314243,4
49606929,5.98
33856197,5.98
49951767,3.98
10402735,4.74
11964845,4.98
33628805,3.75
52604681,4.84
998776880,5.98
517138633,1.22
119057088,1.22
42701881,1.22
23984451,1.22
23984452,1.22
46180334,1.22
46083071,0.75
131781049,0.75
32285011,1.22
15570918,3.33
10307879,1.98
10307932,2.98
23746248,1.98
20850612,1.98
20850614,1.98
15529696,3.33
35137382,3.33
10307934,2.98
43235860,2.98
10308008,2.98
46921321,1.98
15570920,1.98
19766233,3.98
10308011,3.98
19766232,3.98
14140860,3.98
10308166,2.98
10307930,3.98
10308165,2.98
13908708,1.98
